CENTER_ID	CENTER_CD	CENTER_NM	CENTER_ABBR	CULTURE_ID	TIME_ZONE_ID	HULFT_ID	WarehouseGroup	VirtualWhouseFlg	Aname	Address1	Address2	Address3	PostNo	CountryCd	PortCd	DistrictCd	Phone1	Phone2	Fax1	Fax2	WarehouseFlg	WarehouseCls	RefName	SubcontractFlg	CMLRASID	WeightCapacity	Capacity
1	3020	大井保税センター	大井保税センター			302	7010		1				1								0	1		0		1	1
2	8357	東京支店	東京支店						2				1								2	1		0		1	1
3	4024	渋沢倉庫	渋沢倉庫				7010														0	1		1			
4	4027	大井２号倉庫	大井２号倉庫				7010														0	1		1			
5	4070	内外日東倉庫	内外日東倉庫				7010														0	1		1			
6	4076	ケイヒン倉庫５Ｆ	ケイヒン倉庫５Ｆ				7010														0	1		1			
7	4077	丸運　羽田京浜物流センター	丸運　羽田京浜物流センター				7010														0	1		1			
8	4078	ケイヒン倉庫２Ｆ	ケイヒン倉庫２Ｆ				7010														0	1		1			
9	4085	日通南東京	日通南東京				7010														0	1		1			
10	8483	大井センター（国免）	大井センター（国免）				7010														1	1		0			
11	3030	ＣＡＰセンター	ＣＡＰセンター			303	3030														0	0		0			
12	3050	六甲保税センター	六甲保税センター			305	7020														0	1		0			
13	4052	森本倉庫	森本倉庫				7020														0	1		1			
14	4079	ユニエックス　倉庫	ユニエックス　倉庫				7020														0	1		1			
15	4084	澁澤倉庫　摩耶営業所	澁澤倉庫　摩耶営業所				7020														0	1		1			
16	8484	六甲センター（国免）	六甲センター（国免）				7020														1	1		0			
17	8002	仙台	仙台			002															2	1		0			
18	8004	水戸	水戸			004															2	1		0			
19	8005	宇都宮	宇都宮			005															2	1		0			
20	8006	高崎	高崎			006															2	1		0			
21	8009	新座	新座			009															2	1		0			
22	8010	埼玉TD	埼玉TD			010															2	2		0			
23	8011	名古屋	名古屋			011															2	1		0			
24	8012	金沢	金沢			012															2	1		0			
25	8016	神戸	神戸			016															2	1		0			
26	8017	岡山	岡山			017															2	1		0			
27	8018	米子	米子			018															2	1		0			
28	8019	広島	広島			019															2	1		0			
29	8020	高松	高松			020															2	1		0			
30	8025	鹿児島	鹿児島			025															2	1		0			
31	8027	沖縄	沖縄			027															2	1		0			
32	8037	盛岡	盛岡			037															2	1		0			
33	8039	新潟	新潟			039															2	1		0			
34	8044	神奈川	神奈川			044															2	1		0			
35	8045	浜松	浜松			045															2	1		0			
36	8067	泉大津	泉大津			067															2	1		0			
37	8075	釧路	釧路			075															2	1		0			
38	8077	松本	松本			077															2	1		0			
39	8318	福岡	福岡			318															2	1		0			
40	8351	札幌	札幌			351															2	1		0			
41	8352	羽田	羽田			352															2	1		0			
42	8355	大阪	大阪			355															2	1		0			
43	8356	千葉	千葉			356															2	1		0			
44	8359	京都	京都			359															2	1		0			
45	8499	ＣＡＰ	ＣＡＰ			499															2	0		0			
