BIZ_CD	BIZ_NM	LENGTH	FIXED_VALUE	FIXED_DT_FORMAT	PRESENT_NUMBER	INC_NUMBER	MIN_NUMBER	MAX_NUMBER	CHECK_DIGIT	SYSTEM_TYPE	CASH_COUNT
BOL_NO	Bill of Lading No	10			０	1	1	9999999999	0		0
CARRIER_TRACE_NUM1	追跡No1	12			０	1	1	333333333333	0		0
CARRIER_TRACE_NUM2	追跡No2	12			０	1	333333333334	666666666666	0		0
CARRIER_TRACE_NUM3	追跡No3	12			０	1	666666666667	999999999999	0		0
CONTROL_NO	コントロールNo.	10			０	1	1	9999999999	0		99
EDI_RECV_RECEIPT_NO	EDI受信受付No	10			０	1	1	9999999999	0		0
EDI_SEND_RECEIPT_NO	EDI送信受付No	10			０	1	1	9999999999	0		0
JOB_QUE_RECEIPT_NO	ジョブキュー登録受付No	10			０	1	1	9999999999	0		0
LOG_DTL_SECTION_ID	ログ明細セクションID	10			０	1	1	9999999999	0		0
RECEIVE_CD	受信CD	10	WMS		０	1	1	9999999999	0		0
RECEIVE_ID	受信ID	10			０	1	1	9999999999	0		0
SHIPPING_INST_H_ID	出荷検品中断ID	10			０	1	1	9999999999	0		0
SHIPPING_PACKING_NO	出荷梱包No.	9	SP		０	1	1	999999999	0		99
STORE_LABEL_NO	入庫ラベルNo.	11			０	1	1	99999999999	0		0
BOX_CD	荷材CD	1			0	1	1	9999999999	0		0
